state_name,state_code,assembly_no,ac_name,ac_type,candidate_name,sex,age,candidate_type,party,position,ac_total_candidates,total_electors,total_votes,total_valid_votes,vote_share_percentage,margin,margin_percentage,turnout_percentage
Andhra Pradesh,28,14,Achanta,GEN,Satyanarayana Pithani,MALE,61.0,GEN,TDP,1,12,159616.0,63549,130599,48.66,3920,3.0,81.82
Andhra Pradesh,28,14,Achanta,GEN,Mudunuri Prasada Raju,MALE,39.0,GEN,YSRCP,2,12,159616.0,59629,130599,45.66,57975,44.39,81.82
Andhra Pradesh,28,14,Achanta,GEN,Ketha Gopalan,MALE,38.0,GEN,CPM,3,12,159616.0,1654,130599,1.27,13,0.01,81.82
Andhra Pradesh,28,14,Achanta,GEN,Indugapalli Ramanuja Rao,MALE,50.0,GEN,INC,4,12,159616.0,1641,130599,1.26,722,0.55,81.82
Andhra Pradesh,28,14,Achanta,GEN,None Of The Above,,,,NOTA,5,12,159616.0,919,130599,0.7,132,0.1,81.82
Andhra Pradesh,28,14,Achanta,GEN,Kapa Dekkalayya,MALE,57.0,SC,MASP,6,12,159616.0,787,130599,0.6,136,0.1,81.82
Andhra Pradesh,28,14,Achanta,GEN,Chintapalli Guruprasad,MALE,52.0,GEN,BSP,7,12,159616.0,651,130599,0.5,146,0.11,81.82
Andhra Pradesh,28,14,Achanta,GEN,Anitha Nekkanti,FEMALE,38.0,GEN,PPOI,8,12,159616.0,505,130599,0.39,108,0.08,81.82
Andhra Pradesh,28,14,Achanta,GEN,Arigela Satti Raju,MALE,52.0,SC,IND,9,12,159616.0,397,130599,0.3,48,0.04,81.82
Andhra Pradesh,28,14,Achanta,GEN,Srinivasu Sanaboyina,MALE,42.0,GEN,IND,10,12,159616.0,349,130599,0.27,140,0.11,81.82
Andhra Pradesh,28,14,Achanta,GEN,Sikhile Ratna Raju,MALE,46.0,SC,IND,11,12,159616.0,209,130599,0.16,38,0.03,81.82
Andhra Pradesh,28,14,Achanta,GEN,Rayapalli Madhu Kiran,MALE,26.0,GEN,IND,12,12,159616.0,171,130599,0.13,33,0.03,81.82
Andhra Pradesh,28,14,Achanta,GEN,Nageswara Rao Vasanthada,MALE,46.0,SC,IND,13,12,159616.0,138,130599,0.11,0,0.0,81.82
Andhra Pradesh,28,14,Addanki,GEN,Gottipati Ravikumar (Bujji),MALE,40.0,GEN,YSRCP,1,10,220531.0,99537,198944,50.03,4235,2.13,90.21
Andhra Pradesh,28,14,Addanki,GEN,Venkatesh Karanam,MALE,33.0,GEN,TDP,2,10,220531.0,95302,198944,47.9,93915,47.21,90.21
Andhra Pradesh,28,14,Addanki,GEN,Galam Lakshmi,FEMALE,38.0,GEN,INC,3,10,220531.0,1387,198944,0.7,700,0.35,90.21
Andhra Pradesh,28,14,Addanki,GEN,Venkata Narasimharao Rachapudi,MALE,34.0,SC,AAAP,4,10,220531.0,687,198944,0.35,42,0.02,90.21
Andhra Pradesh,28,14,Addanki,GEN,None Of The Above,,,,NOTA,5,10,220531.0,645,198944,0.32,155,0.08,90.21
Andhra Pradesh,28,14,Addanki,GEN,Apparao Palaparthi,MALE,29.0,SC,BSP,6,10,220531.0,490,198944,0.25,263,0.13,90.21
Andhra Pradesh,28,14,Addanki,GEN,Jasti Sriranganayakulu,MALE,43.0,GEN,IND,7,10,220531.0,227,198944,0.11,8,0.0,90.21
Andhra Pradesh,28,14,Addanki,GEN,Tippagudisa Anil Kumar,MALE,30.0,SC,IND,8,10,220531.0,219,198944,0.11,20,0.01,90.21
Andhra Pradesh,28,14,Addanki,GEN,Kore Surendranadh,MALE,43.0,SC,IND,9,10,220531.0,199,198944,0.1,49,0.02,90.21
Andhra Pradesh,28,14,Addanki,GEN,Dupati Yesobu,MALE,39.0,SC,IND,10,10,220531.0,150,198944,0.08,49,0.02,90.21
Andhra Pradesh,28,14,Addanki,GEN,Lakshmireddy Devarapalli,MALE,45.0,GEN,IND,11,10,220531.0,101,198944,0.05,0,0.0,90.21
Andhra Pradesh,28,14,Adoni,GEN,Y.Saiprasad Reddy,MALE,51.0,GEN,YSRCP,1,10,211357.0,72121,138764,51.97,16831,12.13,65.65
Andhra Pradesh,28,14,Adoni,GEN,K.Meenakshi Naidu,MALE,63.0,GEN,TDP,2,10,211357.0,55290,138764,39.84,50566,36.44,65.65
Andhra Pradesh,28,14,Adoni,GEN,Maniyar Yunus,MALE,36.0,GEN,INC,3,10,211357.0,4724,138764,3.4,2642,1.9,65.65
Andhra Pradesh,28,14,Adoni,GEN,Kuppa Venkatesulu,MALE,43.0,GEN,CPM,4,10,211357.0,2082,138764,1.5,247,0.18,65.65
Andhra Pradesh,28,14,Adoni,GEN,B.Sufi Saleem,MALE,35.0,GEN,AIMIM,5,10,211357.0,1835,138764,1.32,1005,0.72,65.65
Andhra Pradesh,28,14,Adoni,GEN,None Of The Above,,,,NOTA,6,10,211357.0,830,138764,0.6,78,0.06,65.65
Andhra Pradesh,28,14,Adoni,GEN,A.Noor Ahmed,MALE,37.0,GEN,AAAP,7,10,211357.0,752,138764,0.54,327,0.24,65.65
Andhra Pradesh,28,14,Adoni,GEN,K.Shanthakumar,MALE,44.0,SC,BSP,8,10,211357.0,425,138764,0.31,157,0.11,65.65
